actor_id,actor_name
943,Lyndie Greenwood
944,Ivana Milicevic
945,Freddy Rodríguez
946,Bob Balaban
947,Raoul Bova
948,Bridgit Mendler
949,Chris Klein
950,Radha Mitchell
951,Jonathan Frakes
952,LeVar Burton
953,Michael Dorn
954,Alison Lohman
955,Peter Gerety
956,David Hyde Pierce
957,Ron Rifkin
958,Jeremy Irvine
959,Todd Graff
960,John Buffalo Mailer
961,Sarah Gadon
962,Zach McGowan
963,Mark Valley
964,Nathaniel Parker
965,Victor Wong
966,Chelcie Ross
967,Brooke Smith
968,Garcelle Beauvais
969,Ben Daniels
970,Dexter Fletcher
971,Phill Lewis
972,Tate Taylor
973,Stephen Rea
974,Sandrine Holt
975,Shane Hartline
976,James Martin Kelly
977,Celina Beach
978,Rory Cochrane
979,Talisa Soto
980,Gregg Henry
981,Minnie Driver
982,Brandy Norwood
983,Ron Howard
984,Lea Michele
985,Jim Belushi
986,Archie Kao
987,Brandon Molale
988,Laurence Olivier
989,Indira Varma
990,Charlotte Rampling
991,Neil Maskell
992,50 Cent
993,Matt Gerald
994,Luke Newberry
995,Roxanne McKee
996,Gaia Weiss
997,Philip Baker Hall
998,Gary Farmer
999,Robert Blake
1000,Vincent Pastore
1001,Aida Turturro
1002,Ashraf Barhom
1003,Max Minghella
1004,Rupert Evans
1005,Jenna Fischer
1006,Stephen Merchant
1007,Michael Raymond-James
1008,Graham McTavish
1009,Simon McBurney
1010,Michael Gaston
1011,Kevin McNally
1012,Maury Chaykin
1013,Kaitlyn Dever
1014,Nancy Travis
1015,Mitch Pileggi
1016,Nonso Anozie
1017,Owen Teale
1018,Lisa Edelstein
1019,Reece Thompson
1020,Marcus Chong
1021,Gloria Foster
1022,Miko Hughes
1023,Kathleen Quinlan
1024,Rachel Ticotin
1025,Ronny Cox
1026,Marshall Bell
1027,Aisha Tyler
1028,Judge Reinhold
1029,Eric Lloyd
1030,Jean Stapleton
1031,Andrea Savage
1032,Tony Amendola
1033,Stuart Wilson
1034,Matt Walsh
1035,Courtney B. Vance
1036,Clint Eastwood
1037,William Devane
1038,Leon
1039,Janine Turner
1040,Samantha Mathis
1041,Lily Tomlin
1042,Daniel von Bargen
1043,Jay Hernandez
1044,Marian Seldes
1045,Horatio Sanz
1046,Vinessa Shaw
1047,Sydney Pollack
1048,Quvenzhané Wallis
1049,David Zayas
1050,Gerald McRaney
1051,Abigail Spencer
1052,Warren Christie
1053,Natasha Lyonne
1054,Jennifer Grey
1055,Lea Thompson
1056,William Smith
1057,Adrian Lester
1058,Maura Tierney
1059,Paul Guilfoyle
1060,Craig Bierko
1061,Melina Kanakaredes
1062,Yvonne Zima
1063,Pamela Reed
1064,Michael Kitchen
1065,Jonah Bobo
1066,Meat Loaf
1067,Eugenie Bondurant
1068,Kimberly Williams-Paisley
1069,Frances O'Connor
1070,Michael Moore
1071,Kevin Grevioux
1072,Caitlin Stasey
1073,Barney Clark
1074,Ian McNeice
1075,Tony Noble
1076,Bill Cobbs
1077,Martin Henderson
1078,Tom Goodman-Hill
1079,David Calder
1080,Michael Smiley
1081,Simon Chandler
1082,Josh Zuckerman
1083,Robert Wagner
1084,Dee Bradley Baker
1085,Bob Peck
1086,Isabella Rossellini
1087,Dean Jones
1088,Peng Lin
1089,Si Won Choi
1090,Sung-jun Yoo
1091,Brittany Daniel
1092,John Witherspoon
1093,David Keith
1094,Shawna Waldron
1095,Romany Malco
1096,Ice-T
1097,Craig Stark
1098,Elizabeth Perkins
1099,Chelsea Handler
1100,Vincent Regan
1101,Kathleen Turner
1102,Eric Dane
